ax,ay,az,mx,my,mz
-0.0772718,0.131683,-0.97945,0.1106,0.10374,-0.17738
-0.0869978,0.123166,-0.992937,0.11018,0.10402,-0.17528
-0.119601,0.10423,-1.00979,0.10948,0.10346,-0.17332
-0.131591,0.103185,-1.02669,0.10766,0.10556,-0.16716
-0.118195,0.0927775,-1.02703,0.11284,0.10514,-0.1715
-0.080942,0.0805403,-1.01589,0.11088,0.10738,-0.16954
-0.045341,0.0671388,-1.00865,0.11368,0.10444,-0.16548
0.0762651,-0.0707503,-1.04202,0.1134,0.10304,-0.16674
0.0130764,-0.0313278,-1.05077,0.11214,0.1043,-0.16996
-0.0725617,-0.0213113,-1.06276,0.1134,0.10262,-0.17024
-0.0998436,0.00299497,-1.05853,0.11368,0.10206,-0.16786
-0.109753,0.0439662,-1.0388,0.11382,0.1036,-0.16912
-0.108285,0.0851248,-1.01765,0.11172,0.10318,-0.16632
-0.104615,0.087086,-1.00525,0.112,0.10696,-0.16898
-0.0896282,0.0794962,-0.999112,0.11452,0.10752,-0.1666
-0.0549447,0.0385331,-0.990899,0.11004,0.10822,-0.16688
-0.0042959,0.0295464,-0.98303,0.11032,0.1071,-0.16758
0.0286748,0.0351307,-0.972971,0.11438,0.10486,-0.1666
0.0309381,0.0462784,-0.954694,0.1155,0.10332,-0.16114
0.0349753,0.0317641,-0.954035,0.11872,0.1057,-0.16226
0.0272679,0.0205533,-0.973336,0.12054,0.10934,-0.16772
-0.00233846,0.00180197,-0.996308,0.12054,0.10416,-0.16464
-0.0636309,0.0243821,-1.01087,0.12152,0.105,-0.16086
-0.112628,0.0309808,-1.03244,0.12166,0.1022,-0.1659
-0.144987,0.0446896,-1.02666,0.12124,0.10136,-0.15988
-0.101801,0.0399265,-1.01755,0.12264,0.10458,-0.1631
-0.0884659,0.0383384,-1.00774,0.12236,0.1064,-0.15932
-0.0703596,0.0605771,-1.00284,0.12432,0.10472,-0.16184
-0.0818596,0.0564698,-1.00091,0.12376,0.10304,-0.1561
-0.056474,0.0289168,-1.0074,0.12516,0.10542,-0.16002
-0.0447293,0.0246333,-1.02517,0.12418,0.1057,-0.16604
-0.0468703,0.0521939,-1.03763,0.126,0.10626,-0.15778
-0.0598383,0.0357754,-1.02268,0.12334,0.1057,-0.16128
-0.0664447,0.0417142,-1.01569,0.12264,0.10822,-0.15974
-0.0463809,0.036331,-1.00853,0.12586,0.10528,-0.16282
-0.0148172,0.0480396,-1.00556,0.1246,0.1022,-0.16142
0.0251269,0.0170003,-1.00555,0.12824,0.10598,-0.1582
