ax,ay,az
-0.0168457,-0.511169,-0.833069
-0.0158691,-0.51355,-0.832031
-0.0172729,-0.511292,-0.830444
-0.0158691,-0.512268,-0.833862
-0.015686,-0.513611,-0.832336
-0.0166626,-0.512878,-0.834778
-0.0169678,-0.515137,-0.831482
-0.0183716,-0.512939,-0.834045
-0.0169067,-0.513672,-0.834839
-0.0155029,-0.511719,-0.833679
-0.0186157,-0.515442,-0.83606
-0.0154419,-0.513306,-0.834961
-0.015625,-0.518127,-0.834717
-0.0145874,-0.513062,-0.833252
-0.0153809,-0.500061,-0.832092
-0.0197144,-0.513245,-0.833862
-0.0172729,-0.509583,-0.835266
-0.0150146,-0.51593,-0.83197
-0.0158691,-0.51355,-0.83075
-0.0167847,-0.511597,-0.833008
-0.0130615,-0.514771,-0.8349
-0.00134277,-0.51355,-0.834961
-0.0144653,-0.516052,-0.832397
-0.0169067,-0.514709,-0.836487
-0.0160522,-0.513,-0.833557
-0.0175781,-0.515015,-0.832581
-0.0134888,-0.511475,-0.833923
-0.0171509,-0.512085,-0.831665
-0.0176392,-0.513428,-0.831848
-0.0171509,-0.51355,-0.831909
-0.0150146,-0.512817,-0.833252
-0.0181274,-0.512024,-0.833496
-0.012207,-0.512207,-0.832153
-0.0160522,-0.514282,-0.832764
-0.0161743,-0.513916,-0.835144
-0.0153809,-0.617249,-0.76178
-0.0148315,-0.620178,-0.757446
-0.0178833,-0.620117,-0.757812
-0.0189819,-0.620911,-0.759766
-0.0164795,-0.618408,-0.762695
-0.0168457,-0.617371,-0.762756
-0.015564,-0.619995,-0.759644
-0.0136108,-0.619751,-0.75824
-0.0147095,-0.61853,-0.760193
-0.0161133,-0.617615,-0.762146
-0.0158081,-0.619019,-0.757568
-0.0174561,-0.620178,-0.759155
-0.013855,-0.618225,-0.758606
-0.0292969,-0.619263,-0.758789
-0.0168457,-0.620239,-0.75769
-0.0155029,-0.619263,-0.75946
-0.0151978,-0.617615,-0.759888
-0.0160522,-0.61853,-0.758301
-0.0159912,-0.61908,-0.759888
-0.000305176,-0.61676,-0.75708
-0.0142212,-0.617004,-0.756958
-0.0153809,-0.61969,-0.759583
-0.015564,-0.618408,-0.758057
-0.0133667,-0.618713,-0.758484
-0.017334,-0.617065,-0.760254
-0.0153198,-0.619019,-0.760559
-0.0151367,-0.62146,-0.75824
-0.0151367,-0.618713,-0.75769
-0.0305786,-0.618652,-0.760742
-0.0161743,-0.61853,-0.759888
-0.0157471,-0.618225,-0.757568
-0.0151978,-0.618286,-0.757812
-0.0147095,-0.617981,-0.760376
-0.0150146,-0.617188,-0.761353
-0.0164795,-0.618774,-0.76062
-0.0151367,-0.618774,-0.756287
-0.0145264,-0.61731,-0.758667
-0.0153809,-0.618103,-0.757324
-0.0176392,-0.618042,-0.759583
-0.0159302,-0.617859,-0.757446
-0.0148926,-0.61969,-0.757935
-0.0162354,-0.61853,-0.757385
-0.0170288,-0.618042,-0.761536
-0.0135498,-0.617493,-0.762451
-0.0136719,-0.619263,-0.76001
-0.0140381,-0.618164,-0.75647
-0.0141602,-0.618225,-0.755798
-0.0177002,-0.617249,-0.75769
-0.0150757,-0.61853,-0.760864
-0.0171509,-0.620544,-0.759033
-0.0159302,-0.618896,-0.759277
-0.031189,-0.622253,-0.758423
-0.0148926,-0.618835,-0.760803
-0.0162964,-0.616089,-0.761597
-0.0144653,-0.619019,-0.760071
-0.0172729,-0.620544,-0.754395
-0.0172729,-0.618225,-0.75647
-0.015564,-0.617371,-0.760193
-0.015564,-0.617126,-0.761353
-0.0148926,-0.61908,-0.758545
-0.0306396,-0.621643,-0.758728
-0.0172729,-0.618652,-0.757935
-0.0161133,-0.616821,-0.761047
-0.0170288,-0.616577,-0.759766
-0.0119629,-0.619324,-0.755981
-0.0147705,-0.61908,-0.757385
-0.0159302,-0.618896,-0.762085
-0.0158081,-0.617798,-0.760315
-0.0180664,-0.619263,-0.759094
-0.0140991,-0.621826,-0.755249
-0.0169678,-0.620117,-0.755554
-0.015564,-0.619141,-0.757446
-0.0148926,-0.618164,-0.759521
-0.0145874,-0.619873,-0.75885
-0.0170898,-0.621216,-0.756592
-0.0146484,-0.618713,-0.757568
-0.0178223,-0.617188,-0.759766
-0.0133667,-0.615662,-0.758301
-0.0177612,-0.619568,-0.759399
-0.0144653,-0.620728,-0.757935
-0.0157471,-0.61908,-0.75824
-0.0146484,-0.617676,-0.762939
-0.0180664,-0.616516,-0.760254
-0.015625,-0.618713,-0.758362
-0.0153198,-0.621033,-0.755432
-0.0166016,-0.618835,-0.759766
-0.0145874,-0.61676,-0.759583
-0.0165405,-0.619263,-0.758728
-0.0166626,-0.620728,-0.759705
-0.0158081,-0.619507,-0.759705
-0.013916,-0.617554,-0.754822
-0.0159302,-0.619202,-0.757446
-0.0165405,-0.619202,-0.757812
-0.0150146,-0.620483,-0.761169
-0.0184326,-0.621155,-0.76001
-0.0151367,-0.618774,-0.758362
-0.0172729,-0.619385,-0.758423
-0.0152588,-0.618103,-0.758911
-0.015625,-0.617676,-0.75824
-0.0150757,-0.618347,-0.757446
-0.0161743,-0.735535,-0.64978
-0.0134888,-0.736877,-0.647034
-0.0165405,-0.73645,-0.649414
-0.0128174,-0.734985,-0.652588
-0.0158691,-0.735168,-0.651489
-0.0172119,-0.738098,-0.646912
-0.0136108,-0.737305,-0.647095
-0.0153809,-0.734741,-0.646606
-0.0133667,-0.735962,-0.649902
-0.0147705,-0.737183,-0.647522
-0.0170898,-0.734497,-0.649414
-0.0197754,-0.73645,-0.64917
-0.013855,-0.735962,-0.64856
-0.015564,-0.749451,-0.650452
-0.000732422,-0.735535,-0.646545
-0.0158691,-0.736633,-0.646423
-0.0137329,-0.736572,-0.647766
-0.0133057,-0.73407,-0.647583
-0.0157471,-0.734497,-0.64978
-0.0151978,-0.737183,-0.647095
-0.0145874,-0.736816,-0.64624
